"","World","Australia","Bahrain","Belgium","Canada","China","France","Germany","Greece","Iceland","India","Iran","Iraq","Japan","Kuwait","Malaysia","Singapore","South_Korea","Spain","Sweden","Switzerland","Taiwan","United_Kingdom","United_States_of_America"
"2020_04_07",1316292,5844,756,20814,16653,82698,74390,99225,1755,1562,4421,60500,1031,3817,665,3793,1375,10331,135032,7206,21574,373,51608,368196
"2020_04_06",1244900,5744,700,19691,15496,82642,70478,95391,1735,1486,4067,58226,961,3654,556,3662,1309,10284,130759,6830,21022,363,47806,337635
"2020_04_05",1173507,5687,688,18431,13882,82575,68605,91714,1673,1417,3374,55743,878,3271,479,3483,1189,10237,124736,6443,20201,363,41903,312237
"2020_04_04",1086955,5548,643,16770,12519,82527,64338,85778,1613,1364,2902,50468,772,2935,342,3333,1114,10156,117710,6078,19227,355,38168,277965
"2020_04_03",1005071,5224,643,15348,11268,82465,59105,79696,1514,1319,2301,50468,772,2617,342,3116,1049,10062,110238,5466,18194,339,33718,245540
"2020_04_02",927734,4976,569,13964,9595,82395,56989,73522,1375,1220,1965,47593,694,2178,317,2908,1000,9976,102136,4947,17070,339,29474,216721
"2020_04_01",850607,4707,567,12775,8536,82295,52128,67366,1314,1135,1397,44606,694,1953,289,2626,879,9786,94417,4435,16108,322,25150,189618
"2020_03_31",777008,4557,515,11899,7424,82241,44550,61913,1212,1086,1251,41495,630,1953,266,2626,844,9786,85195,4028,15412,306,22141,164620
"2020_03_30",714657,4093,500,10836,6255,82157,40174,57298,1156,1020,1071,38309,547,1866,255,2470,844,9661,78797,3700,14274,306,19522,143025
"2020_03_29",656170,3809,473,9134,5386,82059,37575,52547,1061,963,979,35408,506,1693,235,2320,803,9583,72248,3447,13152,283,17089,124665
"2020_03_28",591008,3378,466,7284,4689,81946,32964,48582,966,890,873,32332,458,1499,225,2161,732,9478,64059,3046,12104,267,14543,104686
"2020_03_27",527071,3166,458,6235,4018,81827,29155,42288,892,802,724,29406,382,1364,208,2031,594,9332,56188,2806,10714,252,11658,85991
"2020_03_26",467353,2799,419,4937,3385,81733,25233,36508,821,737,649,27017,346,1268,195,1796,568,9241,47610,2510,9714,235,9529,69194
"2020_03_25",416142,2423,390,4269,1959,81631,22302,31554,743,648,562,24811,316,1193,191,1624,558,9137,39673,2272,8789,216,8077,55231
"2020_03_24",377220,1823,339,3743,1646,81553,19856,29212,695,588,492,23049,266,1128,189,1518,509,9037,33089,2016,8015,195,6650,46442
"2020_03_23",337428,1709,334,3401,1430,81484,16018,24774,624,568,439,21638,233,1089,188,1306,455,8961,28572,1906,6971,165,5683,35206
"2020_03_22",304412,1098,306,2815,1231,81346,14459,21463,530,473,320,20610,214,1046,176,1183,432,8897,24926,1746,6077,153,5018,26747
"2020_03_21",270401,874,285,2257,971,81281,12612,18187,495,409,231,19644,193,1007,159,1030,385,8799,19980,1623,4840,135,3983,19624
"2020_03_20",241664,709,269,1795,846,81229,10995,14138,464,330,191,18407,177,950,148,900,345,8652,17147,1423,3888,108,3277,14250
"2020_03_19",212446,565,256,1486,690,81130,9134,8198,418,250,165,17361,164,873,142,790,313,8565,13716,1301,3010,108,2630,9415
"2020_03_18",194132,454,237,1243,569,81086,7730,7156,387,247,137,16169,154,829,130,673,266,8413,11178,1167,2650,77,1950,6427
"2020_03_17",179380,375,221,1085,424,81063,6633,6012,352,199,125,14991,124,824,123,553,243,8320,9191,1121,2200,67,1543,4661
"2020_03_16",166686,298,214,886,304,81020,5423,4838,331,178,93,13938,124,814,112,428,226,8236,7753,1032,2200,59,1391,3774
"2020_03_15",153971,249,211,689,244,80995,4499,3795,228,138,90,12729,85,780,104,238,214,8162,5753,924,1359,59,1140,2951
"2020_03_14",142145,197,210,559,176,80973,3661,3062,190,117,83,11364,85,737,100,197,200,8086,4231,775,1121,53,707,2174
"2020_03_13",132658,156,162,399,138,80954,2876,2369,133,117,75,10075,74,675,80,158,187,7979,3004,620,854,49,590,1663
"2020_03_12",124622,126,162,314,103,80932,2281,1567,99,85,73,9000,70,619,72,149,178,7869,2140,462,642,48,456,1312
"2020_03_11",117776,112,110,267,93,80908,1784,1296,90,70,50,8042,61,568,69,129,166,7755,1639,326,490,48,373,1025
"2020_03_10",113832,100,109,239,77,80879,1412,1139,84,65,44,7161,NA,514,65,117,160,7513,1204,248,374,NA,321,754
"2020_03_09",108727,80,79,200,62,80859,1126,902,73,55,NA,6566,61,488,64,99,150,7382,589,203,332,45,273,554
"2020_03_08",104872,74,63,169,57,80814,716,847,66,53,34,5823,54,455,61,93,138,7134,430,161,264,45,206,433
"2020_03_07",101207,63,56,109,51,80768,613,684,45,43,31,4747,NA,408,NA,83,130,6767,374,137,209,45,163,338
"2020_03_06",97350,59,52,50,45,80667,423,400,32,35,NA,3513,38,349,58,50,117,6284,261,61,87,44,115,233
"2020_03_05",94382,52,52,NA,33,80497,285,262,NA,NA,NA,2922,31,317,NA,50,112,5766,200,35,57,NA,85,159
"2020_03_04",92174,41,49,NA,30,80380,212,196,NA,NA,NA,2336,NA,268,NA,36,110,5328,151,NA,37,42,51,125
"2020_03_03",89925,33,NA,NA,NA,80261,178,157,NA,NA,NA,1501,NA,254,56,NA,108,4812,114,NA,30,41,40,103
"2020_03_02",89068,NA,47,NA,NA,80134,130,129,NA,NA,NA,978,NA,254,46,NA,106,4212,83,NA,NA,40,36,89
"2020_03_01",87024,NA,41,NA,NA,79929,100,111,NA,NA,NA,593,NA,239,45,NA,102,3526,66,NA,NA,40,NA,69
"2020_02_29",85203,NA,38,NA,NA,79355,57,57,NA,NA,NA,388,NA,230,45,NA,98,2931,34,NA,NA,39,NA,66
"2020_02_28",83365,NA,33,NA,NA,78927,38,47,NA,NA,NA,245,NA,210,43,NA,96,2022,NA,NA,NA,34,NA,60
"2020_02_27",82101,NA,33,NA,NA,78598,NA,NA,NA,NA,NA,139,NA,186,NA,NA,93,1595,NA,NA,NA,32,NA,59
"2020_02_26",80995,NA,NA,NA,NA,78159,NA,NA,NA,NA,NA,95,NA,164,NA,NA,91,1146,NA,NA,NA,31,NA,53
"2020_02_25",80132,NA,NA,NA,NA,77749,NA,NA,NA,NA,NA,61,NA,144,NA,NA,90,892,NA,NA,NA,30,NA,53
"2020_02_24",79339,NA,NA,NA,NA,77234,NA,NA,NA,NA,NA,43,NA,144,NA,NA,89,762,NA,NA,NA,NA,NA,35
"2020_02_23",78812,NA,NA,NA,NA,77016,NA,NA,NA,NA,NA,NA,NA,132,NA,NA,89,601,NA,NA,NA,NA,NA,35
"2020_02_22",77804,NA,NA,NA,NA,76369,NA,NA,NA,NA,NA,NA,NA,105,NA,NA,86,345,NA,NA,NA,NA,NA,35
"2020_02_21",76719,NA,NA,NA,NA,75543,NA,NA,NA,NA,NA,NA,NA,93,NA,NA,85,155,NA,NA,NA,NA,NA,NA
"2020_02_20",75723,NA,NA,NA,NA,74652,NA,NA,NA,NA,NA,NA,NA,84,NA,NA,84,80,NA,NA,NA,NA,NA,NA
"2020_02_19",75191,NA,NA,NA,NA,74258,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,81,46,NA,NA,NA,NA,NA,NA
"2020_02_18",73327,NA,NA,NA,NA,72508,NA,NA,NA,NA,NA,NA,NA,59,NA,NA,77,31,NA,NA,NA,NA,NA,NA
"2020_02_17",71332,NA,NA,NA,NA,70618,NA,NA,NA,NA,NA,NA,NA,59,NA,NA,75,30,NA,NA,NA,NA,NA,NA
"2020_02_16",69265,NA,NA,NA,NA,68566,NA,NA,NA,NA,NA,NA,NA,52,NA,NA,72,NA,NA,NA,NA,NA,NA,NA
"2020_02_15",67103,NA,NA,NA,NA,66559,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,67,NA,NA,NA,NA,NA,NA,NA
"2020_02_14",64543,NA,NA,NA,NA,64021,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,58,NA,NA,NA,NA,NA,NA,NA
"2020_02_13",60328,NA,NA,NA,NA,59865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA
"2020_02_12",45177,NA,NA,NA,NA,44724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,NA,NA
"2020_02_11",43105,NA,NA,NA,NA,42696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA
"2020_02_10",40540,NA,NA,NA,NA,40206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA
"2020_02_09",37552,NA,NA,NA,NA,37232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA
"2020_02_08",34933,NA,NA,NA,NA,34625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA
"2020_02_07",31491,NA,NA,NA,NA,31207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA
"2020_02_06",28273,NA,NA,NA,NA,28047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020_02_05",24522,NA,NA,NA,NA,24320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020_02_04",20615,NA,NA,NA,NA,20448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020_02_03",17372,NA,NA,NA,NA,17211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020_02_02",14554,NA,NA,NA,NA,14399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020_02_01",11946,NA,NA,NA,NA,11809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020_01_31",9826,NA,NA,NA,NA,9714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020_01_30",7823,NA,NA,NA,NA,7734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020_01_29",6067,NA,NA,NA,NA,5994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020_01_28",4587,NA,NA,NA,NA,4528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020_01_27",2820,NA,NA,NA,NA,2775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020_01_26",2023,NA,NA,NA,NA,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020_01_25",1350,NA,NA,NA,NA,1323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020_01_24",897,NA,NA,NA,NA,882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020_01_23",631,NA,NA,NA,NA,623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020_01_22",534,NA,NA,NA,NA,526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020_01_21",392,NA,NA,NA,NA,386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020_01_20",239,NA,NA,NA,NA,235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020_01_19",219,NA,NA,NA,NA,216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020_01_18",83,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020_01_17",66,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020_01_16",61,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020_01_15",61,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020_01_14",60,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020_01_13",60,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020_01_12",59,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020_01_11",59,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020_01_10",59,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020_01_09",59,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020_01_08",59,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020_01_07",59,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020_01_06",59,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020_01_05",59,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020_01_04",44,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020_01_03",44,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020_01_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020_01_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019_12_31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
